[Wednesday/April 17/04/2024 15:25:38] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/026 Класс ReentrantLock.mp4 | length=516.16666666667 | time=12.766666666667
[Wednesday/April 17/04/2024 15:25:51] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/024 Паттерн producer - consumer II часть.mp4 | length=1006.5333333333 | time=392.93333333333
[Wednesday/April 17/04/2024 15:28:40] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/025 Класс CountDownLatch.mp4 | length=719.93333333333 | time=8.8333333333333
[Wednesday/April 17/04/2024 15:35:57] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/025 Класс CountDownLatch.mp4 | length=719.93333333333 | time=410.23333333333
[Wednesday/April 17/04/2024 15:35:59] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/026 Класс ReentrantLock.mp4 | length=516.16666666667 | time=3.1
[Wednesday/April 17/04/2024 15:36:08] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/025 Класс CountDownLatch.mp4 | length=719.93333333333 | time=421.6
[Wednesday/April 17/04/2024 20:00:04] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/027 Семафор Semaphore.mp4 | length=1253.3666666667 | time=1241.3
[Wednesday/April 17/04/2024 20:14:12] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/027 Семафор Semaphore.mp4 | length=1253.3666666667 | time=270.63333333333
[Wednesday/April 17/04/2024 20:14:15] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/028 Взаимная блокировка Deadlock.mp4 | length=1952.0426666667 | time=362.93333333333
[Wednesday/April 17/04/2024 20:14:18] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/028 Взаимная блокировка Deadlock.mp4 | length=1952.0426666667 | time=364.5
[Wednesday/April 17/04/2024 20:14:24] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/026 Класс ReentrantLock.mp4 | length=516.16666666667 | time=1.6666666666667
[Wednesday/April 17/04/2024 20:14:25] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/027 Семафор Semaphore.mp4 | length=1253.3666666667 | time=272.3
[Wednesday/April 17/04/2024 20:14:26] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/028 Взаимная блокировка Deadlock.mp4 | length=1952.0426666667 | time=365.33333333333
[Wednesday/April 17/04/2024 20:14:35] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/029 Прерывание потоков.mp4 | length=610.5 | time=114.03333333333
[Wednesday/April 17/04/2024 20:14:39] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/029 Прерывание потоков.mp4 | length=610.5 | time=113.4
[Wednesday/April 17/04/2024 20:14:47] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/030 Callable и Future.mp4 | length=1100.7333333333 | time=41.1
[Wednesday/April 17/04/2024 20:14:51] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/030 Callable и Future.mp4 | length=1100.7333333333 | time=40.466666666667
[Wednesday/April 17/04/2024 20:14:52] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/029 Прерывание потоков.mp4 | length=610.5 | time=112.13333333333
[Wednesday/April 17/04/2024 20:36:54] /media/greem/D/Video/Spring/04_Продвинутая Java/03 Java Multithreading Многопоточность/030 Callable и Future.mp4 | length=1100.7333333333 | time=1100.7164593216
[Saturday/April 20/04/2024 21:30:13] /media/greem/D/Video/Spring/04_Продвинутая Java/04 Регулярные выражения Regexp/030 Регулярные выражения часть I.mp4 | length=2195.9893333333 | time=101.76666666667
[Saturday/April 20/04/2024 21:30:18] /media/greem/D/Video/Spring/04_Продвинутая Java/04 Регулярные выражения Regexp/031 Регулярные выражения часть II.mp4 | length=508.36666666667 | time=58.866666666667
[Saturday/April 20/04/2024 21:30:24] /media/greem/D/Video/Spring/04_Продвинутая Java/04 Регулярные выражения Regexp/030 Регулярные выражения часть I.mp4 | length=2195.9893333333 | time=110.26666666667
[Saturday/April 20/04/2024 21:30:28] /media/greem/D/Video/Spring/04_Продвинутая Java/04 Регулярные выражения Regexp/031 Регулярные выражения часть II.mp4 | length=508.36666666667 | time=2.3666666666667
[Saturday/April 20/04/2024 22:50:49] /media/greem/D/Video/Spring/04_Продвинутая Java/04 Регулярные выражения Regexp/030 Регулярные выражения часть I.mp4 | length=2195.9893333333 | time=2196.0109099459
[Saturday/April 20/04/2024 23:12:33] /media/greem/D/Video/Spring/04_Продвинутая Java/04 Регулярные выражения Regexp/031 Регулярные выражения часть II.mp4 | length=508.36666666667 | time=508.33333333333
[Saturday/April 20/04/2024 23:13:02] /media/greem/D/Video/Spring/04_Продвинутая Java/04 Регулярные выражения Regexp/032 Классы Pattern и Matcher.mp4 | length=943.46666666667 | time=10.733333333333
[Sunday/April 21/04/2024 13:15:37] /media/greem/D/Video/Spring/04_Продвинутая Java/04 Регулярные выражения Regexp/032 Классы Pattern и Matcher.mp4 | length=943.46666666667 | time=943.48433146487
[Sunday/April 21/04/2024 13:18:38] /media/greem/D/Video/Spring/04_Продвинутая Java/06 Maven/035 Maven (часть I).mp4 | length=772.20281179138 | time=12.733333333333
[Sunday/April 21/04/2024 18:08:18] /media/greem/D/Video/Spring/04_Продвинутая Java/05 Лямбда - выражения Lambda expressions/033 Лямбда - выражения часть I.mp4 | length=2044.3733333333 | time=2044.3825671738
[Sunday/April 21/04/2024 22:24:55] /media/greem/D/Video/Spring/04_Продвинутая Java/05 Лямбда - выражения Lambda expressions/034 Лямбда - выражения часть II.mp4 | length=2197.056 | time=2197.0738465456
